Config,recall_triples,total_energy_consumption,total_energy_consumption_rel,delta_total_energy_consumption,n(total_energy_consumption),n(total_energy_consumption_rel)
DiFaR,0.352012,0.000225,0.000640,9.233593,1.000000,1.000000
FiDeLiS,0.092840,0.008023,0.086418,0.000000,0.674635,0.000000
HubLink (Direct),0.709053,0.009618,0.013565,0.514019,0.608081,0.849320
HubLink (Fast),0.649467,0.005006,0.007707,0.892193,0.800543,0.917609
HubLink (Open),0.559290,0.024192,0.043255,0.154695,0.000000,0.503199
HubLink (Traverse),0.753905,0.010991,0.014579,0.482545,0.550789,0.837496
Mindmap,0.119467,0.005591,0.046798,0.038211,0.776120,0.461889
