Config,recall_triples,emissions,emissions_rel,delta_emissions,n(emissions),n(emissions_rel)
DiFaR,0.352012,0.000086,0.000244,9.233593,1.000000,1.000000
FiDeLiS,0.092840,0.003056,0.032921,0.000000,0.674635,0.000000
HubLink (Direct),0.709053,0.003664,0.005168,0.514019,0.608081,0.849320
HubLink (Fast),0.649467,0.001907,0.002936,0.892193,0.800543,0.917609
HubLink (Open),0.559290,0.009216,0.016478,0.154695,0.000000,0.503199
HubLink (Traverse),0.753905,0.004187,0.005554,0.482545,0.550789,0.837496
Mindmap,0.119467,0.002130,0.017828,0.038211,0.776120,0.461889
