Config,answer_relevancy,bertscore_f1,bertscore_precision,bertscore_recall,bleu_score,cpu_energy_consumption,emissions,exact_match@10_triples,exact_match_triples,f1@10_triples,f1_triples,f2@10_triples,f2_triples,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,gpu_energy_consumption,hit@10_triples,instruction_following,llm_cost,llm_tokens,map@10_triples,mrr@10_triples,non_llm_string_similarity,precision@10_triples,precision_triples,ram_energy_consumption,recall@10_triples,recall_triples,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,runtime,semantic_similarity,total_energy_consumption
DiFaR,0.203,0.635,0.588,0.702,0.160,0.000,0.000,0.104,0.011,0.130,0.022,0.161,0.047,0.321,0.290,0.387,0.645,0.000,0.207,0.312,0.004,25015.324,0.150,0.295,0.338,0.104,0.011,0.000,0.207,0.352,0.448,0.374,0.674,0.292,0.245,0.435,0.371,0.311,0.553,3.437,0.772,0.000
FiDeLiS,0.432,0.562,0.629,0.516,0.046,0.004,0.003,0.053,0.053,0.063,0.063,0.075,0.075,0.154,0.201,0.131,0.112,0.001,0.092,0.388,0.112,102206.035,0.062,0.103,0.202,0.052,0.052,0.003,0.092,0.092,0.251,0.503,0.195,0.131,0.281,0.099,0.211,0.441,0.161,129.857,0.499,0.008
HubLink (Direct),none,0.558,0.489,0.665,0.084,0.004,0.004,0.274,0.220,0.311,0.277,0.363,0.382,none,none,none,none,0.001,0.437,none,0.087,79524.076,0.260,0.489,none,0.274,0.220,0.004,0.437,0.711,0.347,0.264,0.766,0.203,0.159,0.431,0.268,0.205,0.596,155.762,none,0.010
HubLink (Fast),none,0.580,0.519,0.673,0.090,0.002,0.002,0.292,0.280,0.330,0.346,0.380,0.447,none,none,none,none,0.001,0.454,none,0.031,28385.965,0.269,0.477,none,0.292,0.280,0.002,0.453,0.652,0.366,0.293,0.722,0.208,0.169,0.396,0.282,0.228,0.557,80.977,none,0.005
HubLink (Open),none,0.525,0.468,0.606,0.057,0.007,0.009,0.223,0.143,0.265,0.188,0.321,0.270,none,none,none,none,0.011,0.408,none,0.000,82887.412,0.272,0.529,none,0.223,0.144,0.006,0.408,0.559,0.281,0.203,0.615,0.130,0.096,0.264,0.214,0.156,0.466,239.825,none,0.024
HubLink (Traverse),0.570,0.580,0.515,0.678,0.105,0.005,0.004,0.299,0.246,0.358,0.327,0.425,0.450,0.361,0.301,0.543,0.445,0.001,0.513,0.653,0.091,82433.918,0.298,0.500,0.261,0.299,0.246,0.005,0.512,0.755,0.373,0.298,0.757,0.227,0.186,0.438,0.295,0.238,0.594,177.910,0.761,0.011
Mindmap,0.545,0.633,0.625,0.652,0.105,0.003,0.002,0.007,0.026,0.009,0.045,0.011,0.067,0.184,0.212,0.203,0.396,0.001,0.015,0.388,0.015,13979.612,0.002,0.013,0.296,0.008,0.030,0.002,0.015,0.119,0.397,0.432,0.487,0.231,0.259,0.277,0.325,0.361,0.393,90.577,0.682,0.006
