Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
text-embedding-3-large,0.466 ± 0.350,0.326 ± 0.309,0.602 ± 0.412,0.288 ± 0.248,0.466 ± 0.350,0.332 ± 0.253,0.388 ± 0.279,0.209 ± 0.249,0.555 ± 0.362,0.265 ± 0.252,0.355 ± 0.276,0.288 ± 0.248,0.210 ± 0.249,0.043 ± 0.053,0.254 ± 0.129,0.182 ± 0.127,0.614 ± 0.187,0.110 ± 0.103,0.079 ± 0.083,0.260 ± 0.215,0.186 ± 0.095,0.131 ± 0.085,0.461 ± 0.188,0.447 ± 0.072,0.586 ± 0.070,0.504 ± 0.062,111.257 ± 35.845,0.000 ± 0.000,29493.409 ± 4982.757,0.003 ± 0.001,0.005 ± 0.001,0.003 ± 0.001,0.011 ± 0.003,0.004 ± 0.001
Baseline,0.375 ± 0.322,0.239 ± 0.219,0.534 ± 0.412,0.238 ± 0.230,0.374 ± 0.322,0.261 ± 0.225,0.305 ± 0.251,0.183 ± 0.221,0.450 ± 0.336,0.217 ± 0.212,0.287 ± 0.237,0.238 ± 0.230,0.182 ± 0.221,0.054 ± 0.066,0.283 ± 0.146,0.219 ± 0.146,0.619 ± 0.216,0.136 ± 0.135,0.104 ± 0.109,0.301 ± 0.249,0.212 ± 0.118,0.163 ± 0.109,0.477 ± 0.222,0.472 ± 0.091,0.593 ± 0.082,0.521 ± 0.075,89.595 ± 29.140,0.000 ± 0.000,28668.091 ± 4898.461,0.003 ± 0.001,0.004 ± 0.001,0.002 ± 0.001,0.009 ± 0.003,0.003 ± 0.001
llama3.1,0.307 ± 0.331,0.122 ± 0.167,0.291 ± 0.365,0.130 ± 0.141,0.307 ± 0.331,0.163 ± 0.161,0.208 ± 0.197,0.065 ± 0.060,0.374 ± 0.332,0.104 ± 0.090,0.169 ± 0.136,0.130 ± 0.141,0.065 ± 0.060,0.047 ± 0.070,0.227 ± 0.163,0.167 ± 0.157,0.680 ± 0.247,0.115 ± 0.119,0.082 ± 0.096,0.372 ± 0.259,0.173 ± 0.123,0.126 ± 0.116,0.556 ± 0.247,0.442 ± 0.099,0.604 ± 0.101,0.507 ± 0.093,64.451 ± 23.577,0.000 ± 0.000,30576.636 ± 3785.168,0.002 ± 0.001,0.003 ± 0.001,0.002 ± 0.001,0.007 ± 0.003,0.002 ± 0.001
granite-embedding,0.293 ± 0.286,0.231 ± 0.274,0.540 ± 0.479,0.249 ± 0.290,0.293 ± 0.286,0.250 ± 0.259,0.267 ± 0.262,0.203 ± 0.288,0.379 ± 0.336,0.217 ± 0.254,0.264 ± 0.262,0.249 ± 0.290,0.202 ± 0.288,0.056 ± 0.076,0.284 ± 0.142,0.210 ± 0.131,0.615 ± 0.218,0.138 ± 0.135,0.100 ± 0.109,0.300 ± 0.228,0.209 ± 0.103,0.151 ± 0.090,0.468 ± 0.208,0.475 ± 0.078,0.597 ± 0.075,0.527 ± 0.067,81.711 ± 27.702,0.000 ± 0.000,28348.432 ± 5250.751,0.002 ± 0.001,0.004 ± 0.001,0.002 ± 0.001,0.009 ± 0.003,0.003 ± 0.001
