Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
neighbors_to_keep: 20,0.029 ± 0.095,0.004 ± 0.014,0.016 ± 0.046,0.014 ± 0.041,0.029 ± 0.095,0.018 ± 0.053,0.023 ± 0.072,0.030 ± 0.041,0.110 ± 0.186,0.044 ± 0.058,0.064 ± 0.085,0.013 ± 0.038,0.026 ± 0.036,0.117 ± 0.114,0.441 ± 0.137,0.441 ± 0.137,0.522 ± 0.226,0.261 ± 0.155,0.249 ± 0.130,0.327 ± 0.228,0.359 ± 0.143,0.354 ± 0.132,0.435 ± 0.227,0.661 ± 0.079,0.678 ± 0.102,0.665 ± 0.074,146.065 ± 63.124,0.002 ± 0.001,6860.500 ± 4393.732,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
final_paths_to_keep: 20,0.029 ± 0.095,0.004 ± 0.014,0.016 ± 0.046,0.014 ± 0.041,0.029 ± 0.095,0.018 ± 0.053,0.023 ± 0.072,0.030 ± 0.041,0.110 ± 0.186,0.044 ± 0.058,0.064 ± 0.085,0.013 ± 0.038,0.026 ± 0.036,0.114 ± 0.100,0.441 ± 0.131,0.439 ± 0.140,0.524 ± 0.220,0.257 ± 0.142,0.244 ± 0.121,0.322 ± 0.214,0.359 ± 0.136,0.350 ± 0.126,0.438 ± 0.222,0.657 ± 0.085,0.676 ± 0.111,0.662 ± 0.083,152.522 ± 75.959,0.002 ± 0.001,6695.205 ± 4702.571,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
gpt-4o,0.018 ± 0.062,0.002 ± 0.007,0.012 ± 0.040,0.010 ± 0.034,0.018 ± 0.062,0.012 ± 0.039,0.015 ± 0.050,0.029 ± 0.039,0.106 ± 0.187,0.042 ± 0.053,0.061 ± 0.079,0.009 ± 0.029,0.025 ± 0.037,0.109 ± 0.105,0.435 ± 0.157,0.460 ± 0.158,0.496 ± 0.234,0.258 ± 0.159,0.265 ± 0.156,0.304 ± 0.204,0.356 ± 0.140,0.377 ± 0.146,0.410 ± 0.211,0.662 ± 0.099,0.655 ± 0.123,0.654 ± 0.098,126.358 ± 63.291,0.020 ± 0.013,4891.500 ± 3251.889,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
o3-mini,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.027 ± 0.033,0.110 ± 0.186,0.040 ± 0.049,0.060 ± 0.075,0.000 ± 0.000,0.021 ± 0.026,0.083 ± 0.092,0.378 ± 0.165,0.455 ± 0.204,0.404 ± 0.228,0.212 ± 0.152,0.248 ± 0.162,0.232 ± 0.192,0.315 ± 0.152,0.384 ± 0.190,0.335 ± 0.203,0.635 ± 0.111,0.618 ± 0.130,0.622 ± 0.110,192.011 ± 70.740,0.015 ± 0.011,13857.818 ± 9810.486,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
shortest_paths_to_keep: 20,0.029 ± 0.095,0.004 ± 0.014,0.016 ± 0.046,0.014 ± 0.041,0.029 ± 0.095,0.018 ± 0.053,0.023 ± 0.072,0.030 ± 0.041,0.110 ± 0.186,0.044 ± 0.058,0.064 ± 0.085,0.013 ± 0.038,0.025 ± 0.036,0.111 ± 0.099,0.434 ± 0.132,0.434 ± 0.134,0.520 ± 0.227,0.249 ± 0.146,0.237 ± 0.123,0.314 ± 0.218,0.350 ± 0.138,0.345 ± 0.128,0.429 ± 0.223,0.653 ± 0.086,0.669 ± 0.111,0.656 ± 0.084,151.344 ± 65.342,0.002 ± 0.001,5801.500 ± 3552.081,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Baseline,0.038 ± 0.099,0.005 ± 0.014,0.022 ± 0.051,0.021 ± 0.049,0.038 ± 0.099,0.025 ± 0.059,0.031 ± 0.076,0.033 ± 0.042,0.108 ± 0.176,0.047 ± 0.059,0.067 ± 0.085,0.019 ± 0.042,0.029 ± 0.038,0.113 ± 0.100,0.426 ± 0.122,0.425 ± 0.131,0.509 ± 0.217,0.250 ± 0.136,0.239 ± 0.121,0.315 ± 0.203,0.352 ± 0.131,0.345 ± 0.127,0.429 ± 0.218,0.648 ± 0.085,0.664 ± 0.106,0.652 ± 0.081,143.720 ± 68.074,0.002 ± 0.001,6147.455 ± 3451.989,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
reranking,0.081 ± 0.178,0.078 ± 0.177,0.307 ± 0.460,0.049 ± 0.079,0.082 ± 0.178,0.052 ± 0.081,0.062 ± 0.105,0.032 ± 0.042,0.104 ± 0.177,0.046 ± 0.060,0.065 ± 0.085,0.070 ± 0.126,0.028 ± 0.039,0.118 ± 0.100,0.440 ± 0.129,0.437 ± 0.140,0.523 ± 0.211,0.255 ± 0.134,0.244 ± 0.119,0.317 ± 0.197,0.362 ± 0.131,0.353 ± 0.125,0.441 ± 0.215,0.653 ± 0.087,0.672 ± 0.108,0.658 ± 0.083,134.453 ± 61.309,0.002 ± 0.001,9661.295 ± 5982.881,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
question_augmentation,0.078 ± 0.177,0.009 ± 0.020,0.036 ± 0.057,0.037 ± 0.058,0.078 ± 0.178,0.044 ± 0.070,0.055 ± 0.095,0.025 ± 0.030,0.102 ± 0.176,0.038 ± 0.044,0.054 ± 0.064,0.030 ± 0.046,0.024 ± 0.031,0.072 ± 0.064,0.394 ± 0.104,0.362 ± 0.114,0.517 ± 0.208,0.179 ± 0.111,0.156 ± 0.086,0.248 ± 0.185,0.307 ± 0.112,0.275 ± 0.091,0.416 ± 0.213,0.624 ± 0.071,0.667 ± 0.104,0.642 ± 0.077,184.768 ± 91.801,0.002 ± 0.002,9072.023 ± 5668.474,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
