Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
reranking,0.248 ± 0.354,0.200 ± 0.318,0.334 ± 0.464,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,1.932 ± 1.210,0.000 ± 0.000,699.545 ± 615.338,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
o3-mini,0.248 ± 0.354,0.180 ± 0.297,0.278 ± 0.417,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,1.075 ± 0.887,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
n-results: 50,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.028 ± 0.034,0.314 ± 0.387,0.050 ± 0.061,0.095 ± 0.115,0.114 ± 0.161,0.028 ± 0.034,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,2.411 ± 1.853,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
gpt-4o,0.248 ± 0.354,0.180 ± 0.297,0.278 ± 0.417,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,0.886 ± 0.574,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
distance-metric: IP,0.248 ± 0.354,0.180 ± 0.297,0.278 ± 0.417,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,0.844 ± 0.528,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Baseline,0.248 ± 0.354,0.180 ± 0.297,0.278 ± 0.417,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,1.056 ± 0.669,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
question_augmentation,0.205 ± 0.327,0.120 ± 0.242,0.182 ± 0.331,0.084 ± 0.136,0.205 ± 0.327,0.109 ± 0.167,0.142 ± 0.214,0.084 ± 0.136,0.205 ± 0.327,0.109 ± 0.167,0.142 ± 0.214,0.084 ± 0.136,0.084 ± 0.136,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,2.221 ± 1.293,0.000 ± 0.000,293.568 ± 494.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
distance-metric: L2,0.248 ± 0.354,0.180 ± 0.297,0.278 ± 0.417,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.249 ± 0.354,0.144 ± 0.201,0.184 ± 0.253,0.111 ± 0.162,0.111 ± 0.162,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,0.744 ± 0.386,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
n-results: 30,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.044 ± 0.059,0.305 ± 0.391,0.074 ± 0.096,0.128 ± 0.161,0.114 ± 0.161,0.044 ± 0.058,0.011 ± 0.012,0.079 ± 0.038,0.164 ± 0.057,0.057 ± 0.034,0.004 ± 0.015,0.010 ± 0.032,0.003 ± 0.011,0.064 ± 0.032,0.132 ± 0.052,0.046 ± 0.027,0.561 ± 0.028,0.445 ± 0.064,0.495 ± 0.049,1.598 ± 0.951,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
