Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
Mindmap,0.014624,0.002288,0.013200,0.008471,0.014529,0.009059,0.010706,0.030059,0.118765,0.044588,0.066824,0.007124,0.025929,0.544706,0.105353,0.397118,0.431647,0.486882,0.230765,0.259118,0.277059,0.325000,0.360529,0.393118,0.295706,0.183529,0.212118,0.203059,0.396471,0.624512,0.651806,0.632624,0.681647,0.388235,90.576612,0.014889,13979.611765,0.002588,0.000646,0.002381,0.005615,0.002139
FiDeLiS,0.092300,0.062353,0.102706,0.052235,0.092294,0.062588,0.075471,0.052235,0.092294,0.062588,0.075471,0.052688,0.052688,0.432000,0.046059,0.250706,0.502882,0.194824,0.130647,0.280941,0.099059,0.210941,0.441176,0.160882,0.201824,0.154294,0.200765,0.130706,0.112412,0.628918,0.516276,0.561612,0.498588,0.388235,129.857289,0.112427,102206.035294,0.003695,0.000926,0.003398,0.008020,0.003055
HubLink,0.512765,0.298476,0.500224,0.298765,0.512471,0.358235,0.425059,0.245941,0.755353,0.327412,0.450118,0.298800,0.246247,0.579000,0.062824,0.246235,0.165941,0.809471,0.154176,0.103529,0.468471,0.199412,0.134118,0.647059,0.165706,0.326353,0.251412,0.552706,0.431294,0.404765,0.625012,0.486647,0.732529,0.664706,177.910052,0.090677,82433.917647,0.005076,0.001272,0.004670,0.011018,0.004197
DiFaR,0.207106,0.150071,0.294859,0.103529,0.207118,0.129765,0.160941,0.010588,0.351647,0.021882,0.047471,0.103529,0.010976,0.203471,0.159882,0.448235,0.373765,0.674294,0.292118,0.245000,0.435118,0.370529,0.310824,0.552706,0.338118,0.321118,0.289941,0.386882,0.645353,0.587753,0.702212,0.635371,0.772353,0.311765,3.436746,0.003825,25015.323529,0.000098,0.000036,0.000090,0.000225,0.000086
