answer_type,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
named entity,0.385,0.238,0.435,0.186,0.385,0.230,0.288,0.104,0.568,0.145,0.222,0.186,0.104,nan,0.055,0.277,0.203,0.607,0.122,0.095,0.242,0.211,0.157,0.459,nan,nan,nan,nan,nan,0.466,0.612,0.527,nan,nan,242.582,0.000,84454.349,0.007,0.011,0.006,0.025,0.009
other,1.000,1.000,1.000,0.585,1.000,0.645,0.750,0.585,1.000,0.645,0.750,0.583,0.583,nan,0.465,0.705,0.590,0.960,0.625,0.520,0.860,0.705,0.590,0.960,nan,nan,nan,nan,nan,0.740,0.915,0.815,nan,nan,104.848,0.000,38297.500,0.003,0.004,0.003,0.010,0.004
quantitative,0.613,0.398,0.745,0.273,0.614,0.366,0.472,0.185,0.704,0.268,0.386,0.273,0.185,nan,0.026,0.188,0.115,0.659,0.075,0.045,0.280,0.146,0.087,0.524,nan,nan,nan,nan,nan,0.428,0.627,0.507,nan,nan,207.633,0.000,75405.000,0.006,0.010,0.005,0.021,0.008
"named entity, temporal",0.550,0.446,0.667,0.343,0.550,0.411,0.480,0.226,0.603,0.294,0.393,0.343,0.225,nan,0.082,0.352,0.259,0.586,0.172,0.126,0.289,0.248,0.183,0.408,nan,nan,nan,nan,nan,0.492,0.603,0.541,nan,nan,236.353,0.000,80198.000,0.007,0.010,0.006,0.023,0.009
"description, named entity, temporal",0.521,0.441,0.938,0.238,0.520,0.314,0.404,0.181,0.770,0.281,0.443,0.238,0.181,nan,0.103,0.335,0.271,0.565,0.207,0.171,0.307,0.283,0.231,0.459,nan,nan,nan,nan,nan,0.487,0.593,0.533,nan,nan,246.432,0.000,85713.250,0.007,0.011,0.006,0.024,0.009
"description, named entity",0.167,0.069,0.056,0.033,0.167,0.055,0.093,0.008,0.250,0.015,0.033,0.033,0.007,nan,0.112,0.405,0.298,0.698,0.255,0.188,0.443,0.335,0.245,0.575,nan,nan,nan,nan,nan,0.497,0.606,0.546,nan,nan,240.789,0.000,84058.667,0.007,0.011,0.006,0.024,0.009
"description, quantitative, temporal",0.418,0.322,0.814,0.454,0.419,0.408,0.411,0.343,0.544,0.330,0.394,0.454,0.344,nan,0.045,0.305,0.205,0.634,0.134,0.089,0.291,0.218,0.146,0.462,nan,nan,nan,nan,nan,0.474,0.588,0.524,nan,nan,237.276,0.000,81019.231,0.007,0.010,0.006,0.023,0.009
boolean,1.000,0.417,0.417,0.300,1.000,0.425,0.595,0.265,1.000,0.370,0.490,0.300,0.267,nan,0.025,0.440,0.305,0.835,0.325,0.225,0.635,0.345,0.235,0.675,nan,nan,nan,nan,nan,0.510,0.676,0.582,nan,nan,112.601,0.000,42398.500,0.003,0.005,0.003,0.011,0.004
"description, quantitative",0.185,0.117,0.432,0.150,0.186,0.163,0.175,0.086,0.335,0.119,0.175,0.150,0.086,nan,0.025,0.235,0.165,0.556,0.069,0.043,0.167,0.161,0.113,0.384,nan,nan,nan,nan,nan,0.455,0.549,0.495,nan,nan,278.860,0.000,91383.500,0.008,0.012,0.007,0.028,0.011
