Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
58bea3713bd4ed9994cd2e23e21735d1,0.015 ± 0.078,0.002 ± 0.013,0.006 ± 0.029,0.006 ± 0.027,0.015 ± 0.078,0.008 ± 0.036,0.010 ± 0.051,0.026 ± 0.033,0.077 ± 0.111,0.038 ± 0.050,0.053 ± 0.072,0.005 ± 0.021,0.022 ± 0.033,0.081 ± 0.131,0.351 ± 0.146,0.333 ± 0.168,0.462 ± 0.219,0.177 ± 0.155,0.164 ± 0.156,0.238 ± 0.190,0.277 ± 0.144,0.263 ± 0.152,0.361 ± 0.186,0.587 ± 0.095,0.623 ± 0.115,0.601 ± 0.098,118.715 ± 58.956,0.000 ± 0.000,5400.818 ± 2374.210,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
text-embeddding-3-large,0.006 ± 0.030,0.001 ± 0.005,0.008 ± 0.035,0.006 ± 0.027,0.006 ± 0.030,0.006 ± 0.029,0.006 ± 0.029,0.029 ± 0.031,0.109 ± 0.176,0.043 ± 0.045,0.063 ± 0.071,0.005 ± 0.021,0.025 ± 0.028,0.103 ± 0.136,0.386 ± 0.137,0.341 ± 0.152,0.532 ± 0.214,0.217 ± 0.163,0.188 ± 0.161,0.305 ± 0.208,0.305 ± 0.146,0.268 ± 0.156,0.416 ± 0.199,0.587 ± 0.086,0.654 ± 0.109,0.616 ± 0.089,92.268 ± 53.801,0.000 ± 0.001,6541.136 ± 5820.548,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Baseline,0.010 ± 0.038,0.002 ± 0.006,0.010 ± 0.038,0.009 ± 0.034,0.010 ± 0.039,0.009 ± 0.035,0.010 ± 0.038,0.033 ± 0.038,0.115 ± 0.184,0.048 ± 0.053,0.068 ± 0.078,0.007 ± 0.025,0.029 ± 0.034,0.075 ± 0.076,0.364 ± 0.121,0.342 ± 0.143,0.478 ± 0.218,0.187 ± 0.138,0.172 ± 0.126,0.251 ± 0.191,0.271 ± 0.110,0.253 ± 0.123,0.356 ± 0.180,0.584 ± 0.071,0.628 ± 0.101,0.602 ± 0.076,128.930 ± 51.392,0.000 ± 0.000,5501.409 ± 3073.668,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Llama3.1-8B,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.013 ± 0.020,0.106 ± 0.082,0.200 ± 0.100,0.092 ± 0.131,0.020 ± 0.054,0.026 ± 0.059,0.025 ± 0.093,0.087 ± 0.075,0.158 ± 0.079,0.077 ± 0.126,0.570 ± 0.050,0.454 ± 0.084,0.502 ± 0.062,32.502 ± 30.438,0.000 ± 0.000,3353.523 ± 2514.669,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
